frame_number,id,xmin,ymin,width,height,visibility,class,confidence
33,-1,960,-1,43,69,1,1,0.254092
48,-1,958,-1,59,70,1,1,0.450575
49,-1,958,-1,59,70,1,1,0.47297799999999995
50,-1,960,-1,56,70,1,1,0.386318
51,-1,960,-1,54,69,1,1,0.49488499999999996
52,-1,959,-1,55,69,1,1,0.379505
53,-1,960,-1,52,69,1,1,0.47819599999999995
54,-1,960,-1,49,69,1,1,0.5556
55,-1,960,-1,50,69,1,1,0.659245
56,-1,959,-1,50,69,1,1,0.658489
57,-1,958,-2,51,70,1,1,0.656192
58,-1,958,-2,51,70,1,1,0.6897289999999999
59,-1,958,-2,47,70,1,1,0.6107319999999999
60,-1,960,-2,45,70,1,1,0.63061
61,-1,959,-1,46,69,1,1,0.7224849999999999
62,-1,959,-2,42,70,1,1,0.5759409999999999
63,-1,960,-1,39,70,1,1,0.695952
64,-1,960,-1,37,70,1,1,0.481599
65,-1,960,-2,35,71,1,1,0.38195999999999997
66,-1,959,-1,36,70,1,1,0.701645
67,-1,959,-1,36,71,1,1,0.6614979999999999
68,-1,944,-1,53,71,1,1,0.721986
69,-1,940,-1,58,72,1,1,0.610319
70,-1,943,-2,55,72,1,1,0.466717
71,-1,946,-1,52,71,1,1,0.6049169999999999
72,-1,947,-1,57,71,1,1,0.607605
72,-1,913,-2,58,51,1,1,0.594336
73,-1,913,-1,60,51,1,1,0.589685
73,-1,946,-1,59,71,1,1,0.585835
74,-1,911,-2,63,51,1,1,0.590399
74,-1,945,-1,61,70,1,1,0.584028
75,-1,906,-1,73,54,1,1,0.725637
75,-1,943,-1,62,69,1,1,0.406055
76,-1,905,-1,70,54,1,1,0.656108
76,-1,951,-1,54,69,1,1,0.568403
77,-1,905,-1,84,56,1,1,0.774413
77,-1,929,-1,83,69,1,1,0.387584
78,-1,904,-1,73,55,1,1,0.814641
78,-1,944,-1,63,69,1,1,0.397638
79,-1,904,-1,73,55,1,1,0.8233999999999999
79,-1,945,-1,61,68,1,1,0.378818
80,-1,904,-1,71,55,1,1,0.6821769999999999
80,-1,946,-1,53,68,1,1,0.499196
81,-1,904,-1,66,55,1,1,0.778712
81,-1,940,-1,63,68,1,1,0.45022999999999996
82,-1,905,-1,72,56,1,1,0.757398
82,-1,932,-1,73,69,1,1,0.48158199999999995
83,-1,905,0,63,55,1,1,0.766323
83,-1,936,-1,70,68,1,1,0.44298299999999996
84,-1,905,-1,71,56,1,1,0.670051
84,-1,941,-1,63,68,1,1,0.455165
85,-1,905,-1,73,56,1,1,0.610816
85,-1,941,-1,63,68,1,1,0.420533
86,-1,907,-1,86,61,1,1,0.582735
86,-1,939,-2,62,69,1,1,0.358994
87,-1,905,-1,81,61,1,1,0.574672
87,-1,947,-1,54,68,1,1,0.313579
88,-1,957,-1,41,69,1,1,0.32453499999999996
89,-1,887,-1,57,59,1,1,0.466618
89,-1,890,-2,107,62,1,1,0.46058099999999996
89,-1,947,-1,60,69,1,1,0.36228699999999997
90,-1,882,0,61,58,1,1,0.607314
90,-1,878,-1,124,66,1,1,0.36673
90,-1,952,-1,53,69,1,1,0.323503
91,-1,882,0,60,58,1,1,0.613036
91,-1,879,-1,121,66,1,1,0.356389
91,-1,954,-1,49,69,1,1,0.338696
92,-1,882,-1,119,67,1,1,0.5864539999999999
92,-1,879,-1,67,59,1,1,0.327318
92,-1,950,-1,55,69,1,1,0.29525999999999997
93,-1,878,-1,67,61,1,1,0.665648
93,-1,877,-1,119,66,1,1,0.48789099999999996
93,-1,951,-1,52,69,1,1,0.48658599999999996
94,-1,873,-1,71,61,1,1,0.605003
94,-1,871,-1,123,66,1,1,0.506217
94,-1,952,-1,51,69,1,1,0.393353
95,-1,880,-1,55,60,1,1,0.8180879999999999
95,-1,956,-1,43,69,1,1,0.601426
96,-1,871,-2,66,63,1,1,0.646165
96,-1,955,-1,45,70,1,1,0.453821
97,-1,871,-1,68,63,1,1,0.699209
97,-1,954,-1,46,70,1,1,0.434955
98,-1,871,-1,52,61,1,1,0.5097769999999999
98,-1,958,-1,38,69,1,1,0.418272
99,-1,868,-1,63,62,1,1,0.781307
99,-1,862,-1,118,65,1,1,0.45739199999999997
99,-1,956,-1,45,69,1,1,0.408055
100,-1,866,-2,64,64,1,1,0.493878
101,-1,868,-1,68,63,1,1,0.731799
101,-1,864,-1,119,66,1,1,0.5586679999999999
102,-1,865,-1,57,64,1,1,0.878081
103,-1,864,-1,62,64,1,1,0.876622
103,-1,957,-1,46,70,1,1,0.286857
104,-1,861,-1,69,65,1,1,0.709957
104,-1,856,-1,140,70,1,1,0.315797
105,-1,852,-2,143,70,1,1,0.716679
105,-1,857,-1,72,66,1,1,0.432015
106,-1,847,-2,142,70,1,1,0.49412
106,-1,855,-1,78,67,1,1,0.490675
107,-1,843,-2,159,71,1,1,0.517254
107,-1,844,0,69,68,1,1,0.48163599999999995
108,-1,851,0,55,68,1,1,0.45230699999999996
109,-1,850,-1,56,69,1,1,0.467414
110,-1,848,0,57,70,1,1,0.7554649999999999
111,-1,847,-1,58,73,1,1,0.885998
112,-1,847,0,54,72,1,1,0.905269
113,-1,845,-1,56,73,1,1,0.895814
113,-1,958,-1,42,69,1,1,0.281958
114,-1,843,-1,57,74,1,1,0.9017759999999999
115,-1,843,-1,56,74,1,1,0.924623
116,-1,840,-1,59,74,1,1,0.895127
117,-1,843,-2,52,76,1,1,0.928353
117,-1,959,-1,40,71,1,1,0.25956999999999997
118,-1,845,-2,44,79,1,1,0.703611
119,-1,843,-2,42,80,1,1,0.5903999999999999
120,-1,839,-1,47,80,1,1,0.8562289999999999
121,-1,839,-1,45,80,1,1,0.7801239999999999
122,-1,836,-1,50,80,1,1,0.8249289999999999
123,-1,832,-1,51,80,1,1,0.720684
124,-1,829,-2,54,81,1,1,0.835052
124,-1,960,-1,39,72,1,1,0.30307
125,-1,826,-2,57,84,1,1,0.715865
126,-1,826,-2,56,84,1,1,0.610717
126,-1,959,-1,39,72,1,1,0.342956
127,-1,826,-2,56,84,1,1,0.624647
127,-1,960,-1,38,72,1,1,0.29569799999999996
128,-1,819,-1,53,90,1,1,0.684959
